"Id","IsDeleted","Name","CurrencyIsoCode","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","Orcamento__c","Capital__c","DescontoAgravo__c","GarantiaProduto__c","Garantia__c","LimiteCapital__c","NumeroSerie__c","NumeroSorte__c","Percentual__c","PremioComercialDesconto__c","PremioComercial__c","PremioPuroDesconto__c","PremioPuroInterno__c","PremioPuroResseguro__c","PremioPuro__c","PremioTotal__c","TaxaAnual__c","TaxaComercial__c","TaxaMensal__c","TaxaPura__c","TaxaPuroInterno__c","TaxaPuroResseguro__c","TaxaTotal__c","TipoCapital__c","DescontoAgravoMonetarioComercial__c","DescontoAgravoMonetarioInformado__c","DescontoAgravoMonetarioTecnico__c","DescontoAgravoPercentualComercial__c","DescontoAgravoPercentualInformado__c","DescontoAgravoPercentualTecnico__c","TipoDescontoAgravo__c","TipoCapitalProduto__c","DemonstracaoPremio__c","TipoGarantia__c","MoedaGarantia__c","ValorCotacao__c","FranquiaGarantia__c","Limite_de_Uso__c","Tipo_de_limite_de_utilizacao__c","IOF__c"
"a0h0t000001XzpJAAS","false","00025058","BRL","2019-07-03T20:06:49.000+0000","005f4000000jPAEAA2","2019-07-03T20:06:49.000+0000","005f4000000jPAEAA2","2019-07-03T20:06:49.000+0000","","","0060t00000FhGxeAAF","10000","","a0jf4000005iLgsAAE","a0nf400000BpSulAAF","","","","","","37.6","","","","3.44","59.98","","0.001726536","","0.000344","","","0.002743984481451528","","","22.24","","","58.9300473","","","Capital uniforme","Na própria garantia","Cobertura","BRL","","","","",""
"a0h0t000001XzkZAAS","false","00024764","BRL","2019-07-03T20:06:32.000+0000","005f4000000jPAEAA2","2019-07-03T20:06:32.000+0000","005f4000000jPAEAA2","2019-07-03T20:06:32.000+0000","","","0060t00000FhGvYAAV","10000","","a0jf4000005iLgsAAE","a0nf400000BpSulAAF","","","","","","14.1","","","","1.29","6.16","","0.000647451","","0.000129","","","0.00028165161608306093","","","-7.99","","","-56.49838890000001","","","Capital uniforme","Na própria garantia","Cobertura","BRL","","","","",""
"a0h0t000001XzdUAAS","false","00024325","BRL","2019-07-03T20:05:49.000+0000","005f4000000jPAEAA2","2019-07-03T20:05:49.000+0000","005f4000000jPAEAA2","2019-07-03T20:05:49.000+0000","","","0060t00000FhGsZAAV","10000","","a0jf4000005iLgsAAE","a0nf400000BpSulAAF","","","","","","14.1","","","","1.29","7.78","","0.000647451","","0.000129","","","0.00035617959256874405","","","-6.37","","","-44.987405599999995","","","Capital uniforme","Na própria garantia","Cobertura","BRL","","","","",""
"a0h0t000001XyxRAAS","false","00021718","BRL","2019-07-03T20:02:15.000+0000","005f4000000jPAEAA2","2019-07-03T20:02:15.000+0000","005f4000000jPAEAA2","2019-07-03T20:02:15.000+0000","","","0060t00000FhGWsAAN","10000","","a0jf4000005iLgsAAE","a0nf400000BpSulAAF","","","","","","18.8","","","","1.72","7.76","","0.000863268","","0.000172","","","0.0003551731196300281","","","-11.11","","","-58.85714289999999","","","Capital uniforme","Na própria garantia","Cobertura","BRL","","","","",""
"a0h0t000001XyFWAA0","false","00018995","BRL","2019-07-03T19:58:53.000+0000","005f4000000jPAEAA2","2019-07-03T19:58:53.000+0000","005f4000000jPAEAA2","2019-07-03T19:58:53.000+0000","","","0060t00000FhG8MAAV","10000","","a0jf4000005iLgsAAE","a0nf400000BpSulAAF","","","","","","18.8","","","","1.72","7.3","","0.000863268","","0.000172","","","0.000334168257897432","","","-11.57","","","-61.2903226","","","Capital uniforme","Na própria garantia","Cobertura","BRL","","","","",""
"a0h0t000001Xx9MAAS","false","00014769","BRL","2019-07-03T19:52:51.000+0000","005f4000000jPAEAA2","2019-07-03T19:52:51.000+0000","005f4000000jPAEAA2","2019-07-03T19:52:51.000+0000","","","0060t00000FhFZCAA3","10000","","a0jf4000005iLgsAAE","a0nf400000BpSulAAF","","","","","","9.4","","","","0.86","3.99","","0.000431634","","0.000086","","","0.00018258747781352405","","","-5.45","","","-57.69854139999999","","","Capital uniforme","Na própria garantia","Cobertura","BRL","","","","",""
"a0h0t000001Xx3tAAC","false","00014430","BRL","2019-07-03T19:52:24.000+0000","005f4000000jPAEAA2","2019-07-03T19:52:24.000+0000","005f4000000jPAEAA2","2019-07-03T19:52:24.000+0000","","","0060t00000FhFWwAAN","10000","","a0jf4000005iLgsAAE","a0nf400000BpSulAAF","","","","","","14.1","","","","1.29","8.07","","0.000647451","","0.000129","","","0.000369327449303001","","","-6.08","","","-42.9566949","","","Capital uniforme","Na própria garantia","Cobertura","BRL","","","","",""
"a0h0t000001XwayAAC","false","00012637","BRL","2019-07-03T19:49:31.000+0000","005f4000000jPAEAA2","2019-07-03T19:49:31.000+0000","005f4000000jPAEAA2","2019-07-03T19:49:31.000+0000","","","0060t00000FhFCnAAN","10000","","a0jf4000005iLgsAAE","a0nf400000BpSulAAF","","","","","","37.6","","","","3.44","35.12","","0.001726536","","0.000344","","","0.001606789502462928","","","-2.62","","","-6.935650199999999","","","Capital uniforme","Na própria garantia","Cobertura","BRL","","","","",""
"a0h0t000001jV8KAAU","false","00408378","BRL","2019-07-24T17:01:06.000+0000","005f4000000jPAEAA2","2019-07-24T17:01:06.000+0000","005f4000000jPAEAA2","2019-07-24T17:01:06.000+0000","","","0060t00000HNMTaAAP","10000","","a0jf4000005iLgxAAE","a0nf400000BpSuLAAV","","","","","","6","","","","1.2","6.02","","0.00060228","","0.00012","","","0.0006027272742078","","","0","","","0.0742634999999936","","","Capital uniforme","Na própria garantia","Cobertura","BRL","","","","",""
"a0h0t000001jUwoAAE","false","00407790","BRL","2019-07-24T16:55:13.000+0000","005f4000000jPAEAA2","2019-07-24T16:55:13.000+0000","005f4000000jPAEAA2","2019-07-24T16:55:13.000+0000","","","0060t00000HNMNKAA5","10000","","a0jf4000005iLgxAAE","a0nf400000BpSuLAAV","","","","","","2.25","","","","0.45","1.88","","0.000225855","","0.000045","","","0.000188212499924715","","","-0.38","","","-16.6666667","","","Capital uniforme","Na própria garantia","Cobertura","BRL","","","","",""
"a0h0t000001Y1lpAAC","false","00032510","BRL","2019-07-03T20:18:09.000+0000","005f4000000jPAEAA2","2019-07-03T20:18:09.000+0000","005f4000000jPAEAA2","2019-07-03T20:18:09.000+0000","","","0060t00000FhI2uAAF","10000","","a0jf4000005iLgxAAE","a0nf400000BpSuLAAV","","","","","","1.5","","","","0.3","0.73","","0.00015057","","0.00003","","","0.00007280307684531001","","","-0.78","","","-51.64835169999999","","","Capital uniforme","Na própria garantia","Cobertura","BRL","","","","",""
"a0h0t000001Y1kqAAC","false","00032454","BRL","2019-07-03T20:18:01.000+0000","005f4000000jPAEAA2","2019-07-03T20:18:01.000+0000","005f4000000jPAEAA2","2019-07-03T20:18:01.000+0000","","","0060t00000FhI2fAAF","10000","","a0jf4000005iLgxAAE","a0nf400000BpSuLAAV","","","","","","3.75","","","","0.75","3.56","","0.000376425","","0.000075","","","0.00035624370614805","","","-0.2","","","-5.361305400000004","","","Capital uniforme","Na própria garantia","Cobertura","BRL","","","","",""
"a0h0t000001Y1fmAAC","false","00032150","BRL","2019-07-03T20:17:32.000+0000","005f4000000jPAEAA2","2019-07-03T20:17:32.000+0000","005f4000000jPAEAA2","2019-07-03T20:17:32.000+0000","","","0060t00000FhHzWAAV","10000","","a0jf4000005iLgxAAE","a0nf400000BpSuLAAV","","","","","","1.5","","","","0.3","0.95","","0.00015057","","0.00003","","","0.00009495991354122","","","-0.56","","","-36.9330454","","","Capital uniforme","Na própria garantia","Cobertura","BRL","","","","",""
"a0h0t000001Y16RAAS","false","00029959","BRL","2019-07-03T20:14:05.000+0000","005f4000000jPAEAA2","2019-07-03T20:14:05.000+0000","005f4000000jPAEAA2","2019-07-03T20:14:05.000+0000","","","0060t00000FhHg5AAF","10000","","a0jf4000005iLgxAAE","a0nf400000BpSuLAAV","","","","","","3.75","","","","0.75","1.64","","0.000376425","","0.000075","","","0.00016376853029985","","","-2.12","","","-56.4937158","","","Capital uniforme","Na própria garantia","Cobertura","BRL","","","","",""
"a0h0t000001Y0j1AAC","false","00028512","BRL","2019-07-03T20:11:24.000+0000","005f4000000jPAEAA2","2019-07-03T20:11:24.000+0000","005f4000000jPAEAA2","2019-07-03T20:11:24.000+0000","","","0060t00000FhHU9AAN","10000","","a0jf4000005iLgxAAE","a0nf400000BpSuLAAV","","","","","","3","","","","0.6","1.45","","0.00030114","","0.00006","","","0.00014554903074516","","","-1.56","","","-51.6673206","","","Capital uniforme","Na própria garantia","Cobertura","BRL","","","","",""
"a0h0t000001Y03YAAS","false","00025941","BRL","2019-07-03T20:08:02.000+0000","005f4000000jPAEAA2","2019-07-03T20:08:02.000+0000","005f4000000jPAEAA2","2019-07-03T20:08:02.000+0000","","","0060t00000FhH3FAAV","10000","","a0jf4000005iLgxAAE","a0nf400000BpSuLAAV","","","","","","3.75","","","","0.75","1.62","","0.000376425","","0.000075","","","0.000161863966982025","","","-2.14","","","-56.9996767","","","Capital uniforme","Na própria garantia","Cobertura","BRL","","","","",""
"a0h0t000001Y01ZAAS","false","00025818","BRL","2019-07-03T20:07:54.000+0000","005f4000000jPAEAA2","2019-07-03T20:07:54.000+0000","005f4000000jPAEAA2","2019-07-03T20:07:54.000+0000","","","0060t00000FhH3EAAV","10000","","a0jf4000005iLgxAAE","a0nf400000BpSuLAAV","","","","","","3.75","","","","0.75","2.41","","0.000376425","","0.000075","","","0.00024153308506372502","","","-1.35","","","-35.835004299999994","","","Capital uniforme","Na própria garantia","Cobertura","BRL","","","","",""
"a0h0t000001Y0EgAAK","false","00026631","BRL","2019-07-03T20:08:53.000+0000","005f4000000jPAEAA2","2019-07-03T20:08:53.000+0000","005f4000000jPAEAA2","2019-07-03T20:08:53.000+0000","","","0060t00000FhGxhAAF","10000","","a0jf4000005iLgxAAE","a0nf400000BpSuLAAV","","","","","","5.25","","","","1.05","3.02","","0.000526995","","0.000105","","","0.00030178154240734505","","","-2.25","","","-42.735406899999994","","","Capital uniforme","Na própria garantia","Cobertura","BRL","","","","",""
"a0h0t000001XzpKAAS","false","00025059","BRL","2019-07-03T20:06:49.000+0000","005f4000000jPAEAA2","2019-07-03T20:06:49.000+0000","005f4000000jPAEAA2","2019-07-03T20:06:49.000+0000","","","0060t00000FhGxeAAF","10000","","a0jf4000005iLgxAAE","a0nf400000BpSuLAAV","","","","","","6","","","","1.2","9.57","","0.00060228","","0.00012","","","0.00095720388887844","","","3.55","","","58.9300473","","","Capital uniforme","Na própria garantia","Cobertura","BRL","","","","",""
"a0h0t000001XzkaAAC","false","00024765","BRL","2019-07-03T20:06:32.000+0000","005f4000000jPAEAA2","2019-07-03T20:06:32.000+0000","005f4000000jPAEAA2","2019-07-03T20:06:32.000+0000","","","0060t00000FhGvYAAV","10000","","a0jf4000005iLgxAAE","a0nf400000BpSuLAAV","","","","","","2.25","","","","0.45","0.98","","0.000225855","","0.000045","","","0.00009825056374990498","","","-1.28","","","-56.49838890000001","","","Capital uniforme","Na própria garantia","Cobertura","BRL","","","","",""
"a0h0t000001XzdVAAS","false","00024326","BRL","2019-07-03T20:05:49.000+0000","005f4000000jPAEAA2","2019-07-03T20:05:49.000+0000","005f4000000jPAEAA2","2019-07-03T20:05:49.000+0000","","","0060t00000FhGsZAAV","10000","","a0jf4000005iLgxAAE","a0nf400000BpSuLAAV","","","","","","2.25","","","","0.45","1.24","","0.000225855","","0.000045","","","0.00012424869508212002","","","-1.02","","","-44.987405599999995","","","Capital uniforme","Na própria garantia","Cobertura","BRL","","","","",""
"a0h0t000001XyxSAAS","false","00021719","BRL","2019-07-03T20:02:15.000+0000","005f4000000jPAEAA2","2019-07-03T20:02:15.000+0000","005f4000000jPAEAA2","2019-07-03T20:02:15.000+0000","","","0060t00000FhGWsAAN","10000","","a0jf4000005iLgxAAE","a0nf400000BpSuLAAV","","","","","","3","","","","0.6","1.24","","0.00030114","","0.00006","","","0.00012389759987094004","","","-1.77","","","-58.85714289999999","","","Capital uniforme","Na própria garantia","Cobertura","BRL","","","","",""
"a0h0t000001XyFXAA0","false","00018996","BRL","2019-07-03T19:58:53.000+0000","005f4000000jPAEAA2","2019-07-03T19:58:53.000+0000","005f4000000jPAEAA2","2019-07-03T19:58:53.000+0000","","","0060t00000FhG8MAAV","10000","","a0jf4000005iLgxAAE","a0nf400000BpSuLAAV","","","","","","3","","","","0.6","1.17","","0.00030114","","0.00006","","","0.00011657032252236","","","-1.84","","","-61.2903226","","","Capital uniforme","Na própria garantia","Cobertura","BRL","","","","",""
"a0h0t000001Xx9NAAS","false","00014770","BRL","2019-07-03T19:52:51.000+0000","005f4000000jPAEAA2","2019-07-03T19:52:51.000+0000","005f4000000jPAEAA2","2019-07-03T19:52:51.000+0000","","","0060t00000FhFZCAA3","10000","","a0jf4000005iLgxAAE","a0nf400000BpSuLAAV","","","","","","1.5","","","","0.3","0.64","","0.00015057","","0.00003","","","0.00006369330621402002","","","-0.87","","","-57.69854139999999","","","Capital uniforme","Na própria garantia","Cobertura","BRL","","","","",""
"a0h0t000001Xx3uAAC","false","00014431","BRL","2019-07-03T19:52:24.000+0000","005f4000000jPAEAA2","2019-07-03T19:52:24.000+0000","005f4000000jPAEAA2","2019-07-03T19:52:24.000+0000","","","0060t00000FhFWwAAN","10000","","a0jf4000005iLgxAAE","a0nf400000BpSuLAAV","","","","","","2.25","","","","0.45","1.29","","0.000225855","","0.000045","","","0.000128835156733605","","","-0.97","","","-42.9566949","","","Capital uniforme","Na própria garantia","Cobertura","BRL","","","","",""
"a0h0t000001XwazAAC","false","00012638","BRL","2019-07-03T19:49:31.000+0000","005f4000000jPAEAA2","2019-07-03T19:49:31.000+0000","005f4000000jPAEAA2","2019-07-03T19:49:31.000+0000","","","0060t00000FhFCnAAN","10000","","a0jf4000005iLgxAAE","a0nf400000BpSuLAAV","","","","","","6","","","","1.2","5.6","","0.00060228","","0.00012","","","0.00056050796597544","","","-0.42","","","-6.935650199999999","","","Capital uniforme","Na própria garantia","Cobertura","BRL","","","","",""
"a0h0t000001jV8LAAU","false","00408379","BRL","2019-07-24T17:01:06.000+0000","005f4000000jPAEAA2","2019-07-24T17:01:06.000+0000","005f4000000jPAEAA2","2019-07-24T17:01:06.000+0000","","","0060t00000HNMTaAAP","2363.36","","a0jf4000005iLqlAAE","a0nf400000BpSsBAAV","","","","","","47.83","","","","9.57","48.05","","0.020316912","","0.004048","","","0.02033200004994312","","","0.04","","","0.0742634999999936","","","Capital uniforme","Na própria garantia","Cobertura","BRL","","","","",""
"a0h0t000001jUwpAAE","false","00407791","BRL","2019-07-24T16:55:13.000+0000","005f4000000jPAEAA2","2019-07-24T16:55:13.000+0000","005f4000000jPAEAA2","2019-07-24T16:55:13.000+0000","","","0060t00000HNMNKAA5","289.26","","a0jf4000005iLqlAAE","a0nf400000BpSsBAAV","","","","","","2.2","","","","0.44","1.84","","0.007618842","","0.001518","","","0.006349034997460386","","","-0.37","","","-16.6666667","","","Capital uniforme","Na própria garantia","Cobertura","BRL","","","","",""
"a0h0t000001Y1lqAAC","false","00032511","BRL","2019-07-03T20:18:09.000+0000","005f4000000jPAEAA2","2019-07-03T20:18:09.000+0000","005f4000000jPAEAA2","2019-07-03T20:18:09.000+0000","","","0060t00000FhI2uAAF","219.7","","a0jf4000005iLqlAAE","a0nf400000BpSsBAAV","","","","","","1.11","","","","0.22","0.54","","0.005079228","","0.001012","","","0.0024558904589151247","","","-0.57","","","-51.64835169999999","","","Capital uniforme","Na própria garantia","Cobertura","BRL","","","","",""
"a0h0t000001Y1krAAC","false","00032455","BRL","2019-07-03T20:18:01.000+0000","005f4000000jPAEAA2","2019-07-03T20:18:01.000+0000","005f4000000jPAEAA2","2019-07-03T20:18:01.000+0000","","","0060t00000FhI2fAAF","759.3","","a0jf4000005iLqlAAE","a0nf400000BpSsBAAV","","","","","","9.61","","","","1.92","9.13","","0.01269807","","0.00253","","","0.01201728768739422","","","-0.52","","","-5.361305400000004","","","Capital uniforme","Na própria garantia","Cobertura","BRL","","","","",""
"a0h0t000001Y1fnAAC","false","00032151","BRL","2019-07-03T20:17:32.000+0000","005f4000000jPAEAA2","2019-07-03T20:17:32.000+0000","005f4000000jPAEAA2","2019-07-03T20:17:32.000+0000","","","0060t00000FhHzWAAV","359.6","","a0jf4000005iLqlAAE","a0nf400000BpSsBAAV","","","","","","1.82","","","","0.36","1.15","","0.005079228","","0.001012","","","0.003203314416790488","","","-0.68","","","-36.9330454","","","Capital uniforme","Na própria garantia","Cobertura","BRL","","","","",""
"a0h0t000001Y16SAAS","false","00029960","BRL","2019-07-03T20:14:05.000+0000","005f4000000jPAEAA2","2019-07-03T20:14:05.000+0000","005f4000000jPAEAA2","2019-07-03T20:14:05.000+0000","","","0060t00000FhHg5AAF","179.73","","a0jf4000005iLqlAAE","a0nf400000BpSsBAAV","","","","","","2.27","","","","0.45","0.99","","0.01269807","","0.00253","","","0.00552445842211494","","","-1.29","","","-56.4937158","","","Capital uniforme","Na própria garantia","Cobertura","BRL","","","","",""
"a0h0t000001Y0j2AAC","false","00028513","BRL","2019-07-03T20:11:24.000+0000","005f4000000jPAEAA2","2019-07-03T20:11:24.000+0000","005f4000000jPAEAA2","2019-07-03T20:11:24.000+0000","","","0060t00000FhHU9AAN","219.9","","a0jf4000005iLqlAAE","a0nf400000BpSsBAAV","","","","","","2.23","","","","0.45","1.08","","0.010158456","","0.002024","","","0.004909853970470064","","","-1.16","","","-51.6673206","","","Capital uniforme","Na própria garantia","Cobertura","BRL","","","","",""
"a0h0t000001Y03ZAAS","false","00025942","BRL","2019-07-03T20:08:02.000+0000","005f4000000jPAEAA2","2019-07-03T20:08:02.000+0000","005f4000000jPAEAA2","2019-07-03T20:08:02.000+0000","","","0060t00000FhH3FAAV","174.8","","a0jf4000005iLqlAAE","a0nf400000BpSsBAAV","","","","","","2.21","","","","0.44","0.95","","0.01269807","","0.00253","","","0.00546021115286031","","","-1.27","","","-56.9996767","","","Capital uniforme","Na própria garantia","Cobertura","BRL","","","","",""
"a0h0t000001Y01aAAC","false","00025819","BRL","2019-07-03T20:07:54.000+0000","005f4000000jPAEAA2","2019-07-03T20:07:54.000+0000","005f4000000jPAEAA2","2019-07-03T20:07:54.000+0000","","","0060t00000FhH3EAAV","369.5","","a0jf4000005iLqlAAE","a0nf400000BpSsBAAV","","","","","","4.67","","","","0.93","3.01","","0.01269807","","0.00253","","","0.008147716069482992","","","-1.68","","","-35.835004299999994","","","Capital uniforme","Na própria garantia","Cobertura","BRL","","","","",""
"a0h0t000001Y0EhAAK","false","00026632","BRL","2019-07-03T20:08:53.000+0000","005f4000000jPAEAA2","2019-07-03T20:08:53.000+0000","005f4000000jPAEAA2","2019-07-03T20:08:53.000+0000","","","0060t00000FhGxhAAF","301.52","","a0jf4000005iLqlAAE","a0nf400000BpSsBAAV","","","","","","5.34","","","","1.07","3.07","","0.017777298","","0.003542","","","0.010180097363874438","","","-2.29","","","-42.735406899999994","","","Capital uniforme","Na própria garantia","Cobertura","BRL","","","","",""
"a0h0t000001XzpLAAS","false","00025060","BRL","2019-07-03T20:06:49.000+0000","005f4000000jPAEAA2","2019-07-03T20:06:49.000+0000","005f4000000jPAEAA2","2019-07-03T20:06:49.000+0000","","","0060t00000FhGxeAAF","2726.27","","a0jf4000005iLqlAAE","a0nf400000BpSsBAAV","","","","","","55.18","","","","11.04","88.03","","0.020316912","","0.004048","","","0.032289677851499374","","","32.64","","","58.9300473","","","Capital uniforme","Na própria garantia","Cobertura","BRL","","","","",""
"a0h0t000001XzkbAAC","false","00024766","BRL","2019-07-03T20:06:32.000+0000","005f4000000jPAEAA2","2019-07-03T20:06:32.000+0000","005f4000000jPAEAA2","2019-07-03T20:06:32.000+0000","","","0060t00000FhGvYAAV","179.6","","a0jf4000005iLqlAAE","a0nf400000BpSsBAAV","","","","","","1.36","","","","0.27","0.6","","0.007618842","","0.001518","","","0.0033143190171634612","","","-0.77","","","-56.49838890000001","","","Capital uniforme","Na própria garantia","Cobertura","BRL","","","","",""
"a0h0t000001XzdWAAS","false","00024327","BRL","2019-07-03T20:05:49.000+0000","005f4000000jPAEAA2","2019-07-03T20:05:49.000+0000","005f4000000jPAEAA2","2019-07-03T20:05:49.000+0000","","","0060t00000FhGsZAAV","280.4","","a0jf4000005iLqlAAE","a0nf400000BpSsBAAV","","","","","","2.13","","","","0.43","1.18","","0.007618842","","0.001518","","","0.004191322647436848","","","-0.96","","","-44.987405599999995","","","Capital uniforme","Na própria garantia","Cobertura","BRL","","","","",""
"a0h0t000001XyxTAAS","false","00021720","BRL","2019-07-03T20:02:15.000+0000","005f4000000jPAEAA2","2019-07-03T20:02:15.000+0000","005f4000000jPAEAA2","2019-07-03T20:02:15.000+0000","","","0060t00000FhGWsAAN","159.7","","a0jf4000005iLqlAAE","a0nf400000BpSsBAAV","","","","","","1.62","","","","0.32","0.67","","0.010158456","","0.002024","","","0.004179479035646377","","","-0.96","","","-58.85714289999999","","","Capital uniforme","Na própria garantia","Cobertura","BRL","","","","",""
"a0h0t000001XyFYAA0","false","00018997","BRL","2019-07-03T19:58:53.000+0000","005f4000000jPAEAA2","2019-07-03T19:58:53.000+0000","005f4000000jPAEAA2","2019-07-03T19:58:53.000+0000","","","0060t00000FhG8MAAV","140.8","","a0jf4000005iLqlAAE","a0nf400000BpSsBAAV","","","","","","1.42","","","","0.28","0.55","","0.010158456","","0.002024","","","0.003932305546420944","","","-0.88","","","-61.2903226","","","Capital uniforme","Na própria garantia","Cobertura","BRL","","","","",""
